Renda,Score_Credito,Aprovado
8770,799,1
2360,805,1
6890,663,1
6691,579,1
7234,457,1
7765,358,1
1966,427,1
5926,414,1
7078,508,0
9822,825,0
3185,820,1
2269,536,1
8449,580,1
3933,658,1
6811,500,1
6551,577,1
7920,534,1
2684,793,1
6055,303,1
4885,741,1
7896,328,1
4058,408,1
9349,374,1
3547,445,1
4247,427,1
1689,341,0
4234,655,1
4505,340,1
6158,333,1
3399,316,1
9234,452,1
2767,677,1
3028,641,1
5056,326,0
5390,586,1
6893,467,1
9933,567,1
9013,754,1
4112,700,1
8541,775,1
7735,429,1
6986,662,1
8599,591,1
2275,670,1
9726,328,1
4652,448,1
3085,595,1
5443,310,1
9055,811,1
4573,412,1
2521,486,0
5343,526,1
9489,609,1
8373,397,1
7175,354,1
1661,705,0
5797,368,0
2495,611,1
9129,588,1
2516,847,1
9369,447,0
7939,766,1
9392,543,1
8363,790,1
9416,806,1
2378,664,1
6387,781,1
6359,500,1
7831,453,1
8708,749,1
6776,800,1
3562,372,1
1564,595,1
9506,316,1
4068,516,1
6963,360,1
3527,341,1
4195,324,1
6758,338,1
7118,430,1
8236,797,1
1891,528,1
7392,407,1
5061,471,1
7684,734,1
4599,777,1
7778,401,1
9892,823,1
4604,574,1
8715,343,1
3954,316,1
4231,629,1
9654,796,1
6556,311,1
9610,617,1
5340,515,1
2528,638,1
8885,380,1
2002,784,0
8410,673,0
8438,499,1
5988,836,1
1706,765,1
6634,388,1
7477,567,1
9221,788,1
8535,837,1
2984,346,1
9358,587,1
2363,315,1
4290,700,1
8908,385,1
6616,549,1
7519,690,1
3257,634,1
9074,818,1
7874,436,1
8392,797,1
3178,776,1
4742,522,0
6136,671,1
2559,701,1
8168,742,0
4657,789,1
7415,572,1
4193,825,1
5127,458,1
6950,451,1
3163,487,1
7092,397,1
8892,430,1
2806,470,1
8276,482,1
7364,663,1
9026,338,1
7075,826,1
7030,796,1
5913,815,1
5248,648,1
2163,696,1
3498,460,0
9494,315,1
2995,792,1
4804,725,1
5263,407,1
6732,749,1
3353,610,0
8085,469,1
2791,845,1
5081,713,1
9054,550,1
8780,440,1
3136,573,1
5196,715,1
2198,338,1
6237,328,1
2354,776,0
9664,617,1
7355,544,1
8892,571,1
8028,739,1
6749,538,0
6672,676,1
3207,565,1
7291,658,0
7035,639,1
6431,688,0
